token,first choice,second choice,third choice
ii6IT7NRPIhAzzwZ,Marja Pirttivaara,Nathaniel Pearson,Vero Estrada-Galiñanes
1ga5VQNoZKgaBarm,Gary Wolf,Vero Estrada-Galiñanes,Marja Pirttivaara
6AUYkR19RBVyIpkv,Marja Pirttivaara,Gary Wolf,Alexander (Sasha) Wait Zaranek
KF4Mlu8bacrmU8cc,Alexander (Sasha) Wait Zaranek,Benjamin Carr,Nathaniel Pearson
5QulvQtEcw3ss6CC,Marja Pirttivaara,Vero Estrada-Galiñanes,Alexander (Sasha) Wait Zaranek
LCKm50ddMgG4w1xy,Benjamin Carr,Vero Estrada-Galiñanes,Benjamin Carr
fby05uDhr0No6MPC,Beau Gunderson,Gary Wolf,Marja Pirttivaara
P4xg4LIe3SOalMVe,Nathaniel Pearson,Alexander (Sasha) Wait Zaranek,Benjamin Carr
YrtUhmXXfEPKPeds,Marja Pirttivaara,Nathaniel Pearson,Vero Estrada-Galiñanes
ZCzbKviwRYeB38Us,Beau Gunderson,Marja Pirttivaara,Vero Estrada-Galiñanes
EXDGPOp4iQkrswqk,Gary Wolf,Vero Estrada-Galiñanes,Alexander (Sasha) Wait Zaranek
Rw4844GVIQenHHK7,Alexander (Sasha) Wait Zaranek,Marja Pirttivaara,Vero Estrada-Galiñanes
0e5LosKPGizqpSLt,Beau Gunderson,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek
zZ59QwtpWiXwF2u3,Alexander (Sasha) Wait Zaranek,Beau Gunderson,Nathaniel Pearson
nehmKXmfeB6Z9po7,Gary Wolf,Nathaniel Pearson,Alexander (Sasha) Wait Zaranek
Iltxcr4LoerWvUBg,Marja Pirttivaara,Vero Estrada-Galiñanes,Benjamin Carr
Uuf35sKJqS6Wb2EG,Alexander (Sasha) Wait Zaranek,Marja Pirttivaara,Vero Estrada-Galiñanes
8kgUUL6HVEoZnpbz,Vero Estrada-Galiñanes,Nathaniel Pearson,Alexander (Sasha) Wait Zaranek
xHgChSyfW3fOhCPc,Alexander (Sasha) Wait Zaranek,Beau Gunderson,Marja Pirttivaara
nOGwisPfcUXCteOB,Alexander (Sasha) Wait Zaranek,Marja Pirttivaara,Gary Wolf
sseRn9IvX25dKIlQ,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek,Gary Wolf
fRAe5saXnM3NyMf1,Alexander (Sasha) Wait Zaranek,Vero Estrada-Galiñanes,Marja Pirttivaara
kxOxAMgbSCcPqjXS,Gary Wolf,Beau Gunderson,Vero Estrada-Galiñanes
zIcShGJsvS6Ng1l4,Gary Wolf,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek
wS0RT1RDyIsi0F3P,Marja Pirttivaara,Vero Estrada-Galiñanes,Alexander (Sasha) Wait Zaranek
83blo4r7PPCKBq7Z,Beau Gunderson,Vero Estrada-Galiñanes,Marja Pirttivaara
4T5iQzlDAvsoYHRw,Nathaniel Pearson,Marja Pirttivaara,Gary Wolf
vBxDQNQxol413fDO,Nathaniel Pearson,Marja Pirttivaara,Benjamin Carr
lXPQQ7JCg7DLBTcy,Vero Estrada-Galiñanes,Beau Gunderson,Marja Pirttivaara
FYGwggZktexS9ou2,Alexander (Sasha) Wait Zaranek,Beau Gunderson,Marja Pirttivaara
B6Zs8mKGNqTNuXrz,Alexander (Sasha) Wait Zaranek,Beau Gunderson,Marja Pirttivaara
F8vhftdcnf8wE54N,Alexander (Sasha) Wait Zaranek,Vero Estrada-Galiñanes,Nathaniel Pearson
xfJ0m7NZ6SjoMxPd,Beau Gunderson,Vero Estrada-Galiñanes,Benjamin Carr
EXtYDP555QFgbltA,Beau Gunderson,Nathaniel Pearson,Benjamin Carr
6YP8DhV2C4bEGgZE,Marja Pirttivaara,Beau Gunderson,Vero Estrada-Galiñanes
n97GBi5M6LVUYcsY,Alexander (Sasha) Wait Zaranek,Marja Pirttivaara,Vero Estrada-Galiñanes
JkEPT64xOkUrMkwT,Benjamin Carr,Beau Gunderson,Vero Estrada-Galiñanes
9Mn5fFdxxcQ7w0Yc,Gary Wolf,Marja Pirttivaara,Nathaniel Pearson
cQcAvbvboQjqLn2r,Benjamin Carr,Beau Gunderson,Nathaniel Pearson
